occupation_code	occupation_text	display_level	selectable	sort_sequence
172112	Industrial engineers	4	T	218
17211X	Industrial engineers, including health and safety	3	T	216
172121	Marine engineers and naval architects	4	T	220
17212X	Marine engineers and naval architects	3	T	219
172131	Materials engineers	4	T	222
17213X	Materials engineers	3	T	221
172141	Mechanical engineers	4	T	224
17214X	Mechanical engineers	3	T	223
172151	Mining and geological engineers, including mining safety engineers	4	T	226
17215X	Mining and geological engineers, including mining safety engineers	3	T	225
172171	Petroleum engineers	4	T	230
17217X	Petroleum engineers	3	T	229
17219X	Miscellaneous engineers	3	T	231
172XXX	Engineers	2	T	198
173011	Architectural and civil drafters	4	T	234
17301X	Drafters	3	T	233
173022	Civil engineering technologists and technicians	4	T	239
173023	Electrical and electronic engineering technologists and technicians	4	T	240
173025	Environmental engineering technologists and technicians	4	T	242
173026	Industrial engineering technologists and technicians	4	T	243
173027	Mechanical engineering technologists and technicians	4	T	244
17302X	Engineering technologists and technicians, except drafters	3	T	237
173031	Surveying and mapping technicians	4	T	247
17303X	Surveying and mapping technicians	3	T	246
173XXX	Drafters, engineering technicians, and mapping technicians	2	T	232
17XXXX	Architecture and engineering occupations	1	T	190
191013	Soil and plant scientists	4	T	253
19101X	Agricultural and food scientists	3	T	250
191022	Microbiologists	4	T	256
191023	Zoologists and wildlife biologists	4	T	257
19102X	Biological scientists	3	T	254
191031	Conservation scientists	4	T	259
191032	Foresters	4	T	260
19103X	Conservation scientists and foresters	3	T	258
191041	Epidemiologists	4	T	262
191042	Medical scientists, except epidemiologists	4	T	263
19104X	Medical scientists	3	T	261
191XXX	Life scientists	2	T	249
192031	Chemists	4	T	272
19203X	Chemists and materials scientists	3	T	271
192041	Environmental scientists and specialists, including health	4	T	275
192042	Geoscientists, except hydrologists and geographers	4	T	276
192043	Hydrologists	4	T	277
19204X	Environmental scientists and geoscientists	3	T	274
192XXX	Physical scientists	2	T	265
193011	Economists	4	T	281
19301X	Economists	3	T	280
